,Solar1,Wind1,Hydro1,Diesel1,Diesel2,Central,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,2.0,2.0,3.421052631578948,8.0,8.55377312603921,4.268032379210941,7.999999999999998,3.7290324206315817,7.457663391005292,7.084780221455027,10.0,7.182120294736837,2.0,6.544736842105263,10.0,7.480734529600007,2.4367414379938745,2.326869806094181,2.1052631578947376,2.0000000000000004,2.7124779906108456,7.3268540910803015,2.0,5.587485817199968
1,0,0,0,0,0,0,2.0,2.0,3.421052631578948,8.0,8.55377312603921,4.268032379210941,7.999999999999998,3.7290324206315817,7.457663391005292,7.084780221455027,10.0,7.182120294736837,2.0,6.544736842105263,10.0,7.480734529600007,2.4367414379938745,2.326869806094181,2.1052631578947376,2.0000000000000004,2.7124779906108456,7.3268540910803015,2.0,5.587485817199968
2,0,0,0,0,0,0,2.0,2.0,3.421052631578948,8.0,8.55377312603921,4.268032379210941,7.999999999999998,3.7290324206315817,7.457663391005292,7.084780221455027,10.0,7.182120294736837,2.0,6.544736842105263,10.0,7.480734529600007,2.4367414379938745,2.326869806094181,2.1052631578947376,2.0000000000000004,2.7124779906108456,7.3268540910803015,2.0,5.587485817199968
3,0,0,0,0,0,0,2.0,2.0,3.421052631578948,8.0,8.55377312603921,4.268032379210941,7.999999999999998,3.7290324206315817,7.457663391005292,7.084780221455027,10.0,7.182120294736837,2.0,6.544736842105263,10.0,7.480734529600007,2.4367414379938745,2.326869806094181,2.1052631578947376,2.0000000000000004,2.7124779906108456,7.3268540910803015,2.0,5.587485817199968
4,0,0,0,0,0,0,2.0,2.0,3.421052631578948,8.0,8.55377312603921,4.268032379210941,7.999999999999998,3.7290324206315817,7.457663391005292,7.084780221455027,10.0,7.182120294736837,2.0,6.544736842105263,10.0,7.480734529600007,2.4367414379938745,2.326869806094181,2.1052631578947376,2.0000000000000004,2.7124779906108456,7.3268540910803015,2.0,5.587485817199968
5,0,0,0,0,0,0,2.0,2.0,3.421052631578948,8.0,8.55377312603921,4.268032379210941,7.999999999999998,3.7290324206315817,7.457663391005292,7.084780221455027,10.0,7.182120294736837,2.0,6.544736842105263,10.0,7.480734529600007,2.4367414379938745,2.326869806094181,2.1052631578947376,2.0000000000000004,2.7124779906108456,7.3268540910803015,2.0,5.587485817199968
6,0,0,0,0,0,0,2.0,2.0,3.421052631578948,8.0,8.55377312603921,4.268032379210941,7.999999999999998,3.7290324206315817,7.457663391005292,7.084780221455027,10.0,7.182120294736837,2.0,6.544736842105263,10.0,7.480734529600007,2.4367414379938745,2.326869806094181,2.1052631578947376,2.0000000000000004,2.7124779906108456,7.3268540910803015,2.0,5.587485817199968
7,0,0,0,0,0,0,2.0,2.0,3.421052631578948,8.0,8.55377312603921,4.268032379210941,7.999999999999998,3.7290324206315817,7.457663391005292,7.084780221455027,10.0,7.182120294736837,2.0,6.544736842105263,10.0,7.480734529600007,2.4367414379938745,2.326869806094181,2.1052631578947376,2.0000000000000004,2.7124779906108456,7.3268540910803015,2.0,5.587485817199968
8,0,0,0,0,0,0,2.0,2.0,3.421052631578948,8.0,8.55377312603921,4.268032379210941,7.999999999999998,3.7290324206315817,7.457663391005292,7.084780221455027,10.0,7.182120294736837,2.0,6.544736842105263,10.0,7.480734529600007,2.4367414379938745,2.326869806094181,2.1052631578947376,2.0000000000000004,2.7124779906108456,7.3268540910803015,2.0,5.587485817199968
9,0,0,0,0,0,0,2.0,2.0,3.421052631578948,8.0,8.55377312603921,4.268032379210941,7.999999999999998,3.7290324206315817,7.457663391005292,7.084780221455027,10.0,7.182120294736837,2.0,6.544736842105263,10.0,7.480734529600007,2.4367414379938745,2.326869806094181,2.1052631578947376,2.0000000000000004,2.7124779906108456,7.3268540910803015,2.0,5.587485817199968
