time;wind speed;irradiance direct;temperature
0;2.44754717;0;15.57773585
1;2.522264151;0;15.21056604
2;2.561320755;0;14.8645283
3;2.543396226;0;14.53886792
4;2.474716981;0;14.24113208
5;2.423396226;0;13.93735849
6;2.396037736;0;13.64301887
7;2.375660377;0;13.35490566
8;2.423584906;0;13.10301887
9;2.489811321;0;12.90075472
10;2.607169811;0;12.71735849
11;2.660943396;0.011320755;13.77226415
12;3.045283019;0.079056604;15.93320755
13;3.256037736;0.21509434;17.98415094
14;3.190188679;0.341509434;19.64056604
15;3.287924528;0.42245283;20.86075472
16;3.45490566;0.42490566;21.57358491
17;3.630377358;0.355660377;21.73792453
18;3.748867925;0.245849057;21.39584906
19;3.751886792;0.144716981;20.68471698
20;3.630943396;0.069433962;19.73886792
21;3.316415094;0.022641509;18.59566038
22;2.777735849;0.001886792;17.13471698
23;2.483207547;0;15.96433962
