time;wind speed;irradiance direct;temperature
0;2.647692308;0;15.55442308
1;2.744038462;0;15.22730769
2;2.798076923;0;14.90923077
3;2.765192308;0;14.59096154
4;2.643653846;0;14.28365385
5;2.495;0;14.01538462
6;2.381730769;0;13.775
7;2.350192308;0;13.54673077
8;2.391346154;0;13.33192308
9;2.450576923;0;13.13653846
10;2.525384615;0;12.96615385
11;2.563076923;0.010384615;13.90442308
12;3.072115385;0.066730769;15.88480769
13;3.451730769;0.183461538;17.84403846
14;3.367307692;0.300384615;19.51365385
15;3.351153846;0.371730769;20.73519231
16;3.574230769;0.374807692;21.42769231
17;3.721153846;0.315;21.56269231
18;3.768846154;0.221538462;21.21826923
19;3.780384615;0.121923077;20.51788462
20;3.665192308;0.055;19.58865385
21;3.371153846;0.0175;18.48865385
22;2.836153846;0.000961538;17.09442308
23;2.548269231;0;15.9675
