time;wind speed;irradiance direct;temperature
0;2.500384615;0;15.63403846
1;2.593461538;0;15.30557692
2;2.643461538;0;14.9975
3;2.635576923;0;14.68826923
4;2.583076923;0;14.38557692
5;2.520384615;0;14.09538462
6;2.416346154;0;13.84269231
7;2.332692308;0;13.61480769
8;2.289230769;0;13.41461538
9;2.314423077;0;13.21923077
10;2.3725;0;13.0375
11;2.415192308;0.011153846;14.01288462
12;2.819423077;0.072115385;16.02480769
13;3.151346154;0.191923077;17.93557692
14;3.176153846;0.320384615;19.6
15;3.171730769;0.390192308;20.79307692
16;3.444807692;0.384807692;21.43557692
17;3.659230769;0.303846154;21.51346154
18;3.798269231;0.198076923;21.115
19;3.808076923;0.113846154;20.40673077
20;3.690769231;0.055;19.49692308
21;3.398846154;0.018076923;18.42596154
22;2.871730769;0.001153846;17.05461538
23;2.611153846;0;15.95423077
