time;"	wind speed";irradiance direct;temperature
0;2.589615385;0;25.53865385
1;2.934423077;0;25.1575
2;3.161923077;0;24.83403846
3;3.273269231;0;24.56307692
4;3.307307692;0;24.31115385
5;3.353076923;0;24.0675
6;3.439038462;0;23.84846154
7;3.528846154;0;23.66230769
8;3.561153846;0;23.51
9;3.484615385;0;23.38134615
10;3.409807692;0;23.26788462
11;3.104807692;0.017884615;23.68692308
12;1.900576923;0.073846154;24.89096154
13;1.878269231;0.146730769;25.995
14;2.046346154;0.212115385;26.98134615
15;2.120769231;0.262307692;27.78557692
16;2.072307692;0.284038462;28.32807692
17;1.997884615;0.266538462;28.57903846
18;1.892884615;0.216346154;28.58076923
19;1.636153846;0.137692308;28.34384615
20;1.2125;0.071923077;27.94846154
21;0.877692308;0.025192308;27.4225
22;1.240961538;0.001538462;26.76596154
23;1.830576923;0;26.16423077
