time;wind speed;irradiance direct;temperature
0;2.560769231;0;15.59057692
1;2.645576923;0;15.25326923
2;2.685576923;0;14.92807692
3;2.677692308;0;14.61730769
4;2.628653846;0;14.31596154
5;2.539615385;0;14.02403846
6;2.435769231;0;13.72807692
7;2.4;0;13.46788462
8;2.440576923;0;13.21326923
9;2.478269231;0;12.98826923
10;2.554807692;0;12.77269231
11;2.595192308;0.012307692;13.77903846
12;2.96;0.080769231;15.90403846
13;3.199423077;0.206538462;17.91653846
14;3.116730769;0.346153846;19.6425
15;3.140769231;0.432115385;20.89807692
16;3.246153846;0.436923077;21.59807692
17;3.415576923;0.357307692;21.75461538
18;3.615769231;0.233076923;21.41903846
19;3.687307692;0.126923077;20.7025
20;3.563269231;0.060769231;19.74384615
21;3.266346154;0.017884615;18.59230769
22;2.735576923;0.001346154;17.16596154
23;2.458653846;0;16.02519231
