time;"	wind speed";irradiance direct;temperature
0;2.382884615;0;25.71884615
1;2.720384615;0;25.35307692
2;2.863653846;0;25.06942308
3;2.876153846;0;24.8375
4;2.807307692;0;24.63480769
5;2.769230769;0;24.42615385
6;2.735384615;0;24.22846154
7;2.75;0;24.03173077
8;2.793269231;0;23.84673077
9;2.777692308;0;23.70173077
10;2.784038462;0;23.55442308
11;2.820961538;0.012307692;23.81115385
12;1.819230769;0.059038462;24.88230769
13;1.667115385;0.1225;25.88923077
14;1.903076923;0.168076923;26.77365385
15;1.968653846;0.198269231;27.51076923
16;1.907884615;0.212307692;28.04769231
17;1.804230769;0.209423077;28.32115385
18;1.679038462;0.174615385;28.34
19;1.484615385;0.115192308;28.11576923
20;1.141538462;0.058076923;27.71538462
21;0.896538462;0.02;27.20346154
22;1.272692308;0.001346154;26.56980769
23;1.779038462;0;25.99115385
