time;wind speed;irradiance direct;temperature
0;2.462307692;0;15.53884615
1;2.545769231;0;15.18115385
2;2.575192308;0;14.82519231
3;2.541923077;0;14.47365385
4;2.483461538;0;14.13807692
5;2.418653846;0;13.81076923
6;2.347884615;0;13.5075
7;2.354230769;0;13.23692308
8;2.441538462;0;12.99115385
9;2.506153846;0;12.78115385
10;2.558653846;0;12.60692308
11;2.579230769;0.012307692;13.69788462
12;3.000192308;0.077692308;15.83846154
13;3.365961538;0.2075;17.85826923
14;3.328653846;0.346153846;19.585
15;3.286730769;0.431730769;20.85692308
16;3.429423077;0.437307692;21.57942308
17;3.640961538;0.359423077;21.72942308
18;3.775576923;0.247115385;21.3875
19;3.808461538;0.144230769;20.67326923
20;3.684038462;0.068846154;19.69269231
21;3.3825;0.025;18.54788462
22;2.823461538;0.002115385;17.10538462
23;2.491346154;0;15.94711538
