time;"	wind speed";irradiance direct;temperature
0;2.214615385;0;25.54365385
1;2.497884615;0;25.1875
2;2.683846154;0;24.86961538
3;2.833076923;0;24.5825
4;2.954423077;0;24.32019231
5;3.046346154;0;24.07807692
6;3.133653846;0;23.83557692
7;3.199807692;0;23.62538462
8;3.266346154;0;23.46038462
9;3.238461538;0;23.32538462
10;3.180192308;0;23.17826923
11;2.945576923;0.0125;23.56288462
12;1.750961538;0.061153846;24.74288462
13;1.725769231;0.136923077;25.83211538
14;1.973269231;0.201923077;26.83269231
15;2.079038462;0.255;27.66038462
16;2.090576923;0.278846154;28.235
17;2.015961538;0.266346154;28.51596154
18;1.875769231;0.213846154;28.52307692
19;1.636923077;0.145192308;28.29596154
20;1.233846154;0.0725;27.86615385
21;0.929038462;0.025576923;27.34173077
22;1.249807692;0.001346154;26.63884615
23;1.69;0;26.055
