time;"	wind speed";irradiance direct;temperature
0;2.232884615;0;25.69326923
1;2.649038462;0;25.31307692
2;2.922115385;0;24.98807692
3;3.049038462;0;24.71596154
4;3.083846154;0;24.48115385
5;3.098846154;0;24.26923077
6;3.1025;0;24.07057692
7;3.140192308;0;23.88269231
8;3.212307692;0;23.70134615
9;3.215384615;0;23.53846154
10;3.169230769;0;23.41980769
11;2.9875;0.012307692;23.74076923
12;1.904423077;0.054423077;24.76019231
13;1.744615385;0.1175;25.75442308
14;2.011538462;0.178846154;26.67538462
15;2.061538462;0.220961538;27.48134615
16;2.044038462;0.240384615;28.085
17;1.958461538;0.234423077;28.38442308
18;1.853846154;0.199038462;28.39442308
19;1.688653846;0.137884615;28.17038462
20;1.331153846;0.069807692;27.76307692
21;1.031538462;0.023846154;27.22961538
22;1.364423077;0.001346154;26.56
23;1.822115385;0;25.96557692
