time;"	wind speed";irradiance direct;temperature
0;2.102884615;0;25.60057692
1;2.452307692;0;25.24596154
2;2.685384615;0;24.93596154
3;2.814038462;0;24.66115385
4;2.928076923;0;24.39192308
5;3.063653846;0;24.145
6;3.218653846;0;23.93192308
7;3.345576923;0;23.75596154
8;3.416923077;0;23.60557692
9;3.378461538;0;23.46134615
10;3.369230769;0;23.31442308
11;3.147884615;0.014423077;23.66519231
12;1.866730769;0.062692308;24.76903846
13;1.752307692;0.124615385;25.81980769
14;2.057115385;0.178269231;26.74961538
15;2.073461538;0.217884615;27.53288462
16;1.987884615;0.242692308;28.13
17;1.875576923;0.241153846;28.45403846
18;1.716538462;0.203653846;28.49346154
19;1.484807692;0.138269231;28.27480769
20;1.167115385;0.071153846;27.84403846
21;0.993269231;0.028461538;27.32019231
22;1.424423077;0.002307692;26.65711538
23;2.070192308;0;26.01115385
