time;wind speed;irradiance direct;temperature
0;2.503846154;0;15.51115385
1;2.593461538;0;15.17576923
2;2.655769231;0;14.83826923
3;2.694807692;0;14.48192308
4;2.612692308;0;14.15153846
5;2.516346154;0;13.835
6;2.454423077;0;13.52615385
7;2.413461538;0;13.23692308
8;2.433653846;0;12.9775
9;2.492115385;0;12.74673077
10;2.604423077;0;12.54807692
11;2.645;0.011538462;13.66423077
12;3.013076923;0.086153846;15.84692308
13;3.193461538;0.225192308;17.94730769
14;3.131923077;0.361923077;19.68365385
15;3.201346154;0.434807692;20.88692308
16;3.330769231;0.435;21.56692308
17;3.545;0.361346154;21.70288462
18;3.715576923;0.252884615;21.36076923
19;3.754807692;0.140384615;20.63307692
20;3.628461538;0.0675;19.67538462
21;3.335;0.023461538;18.55692308
22;2.813461538;0.001153846;17.14403846
23;2.514807692;0;16.05057692
